MaterialID,ArtefactID,MonumentID,LocationID,Findspot,FindspotCertainty,FindspotChecked,DateFrom,DateTo,DateChecked,DateNote,Materiality,ModernHolding,HoldingData,Publication,MaterialNote,DBInclusionReason,Media
183,,183,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
184,,184,,,,,1,71,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00841.jpg;$ILJug-02_00841_1.jpg
185,,185,,,,,1,50,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
186,,186,,,,,6,41,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1971_00299.jpg;pp
187,,187,,,,,1,100,,,NA,,,,,,
188,,188,,,,,1,50,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
189,,189,,,,,1,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
190,,190,,,,,1,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
191,,191,,,,,71,80,,,NA,,,,,,
192,,192,,,,,1,150,,,lapis,,,,cinerarium,,
193,,193,,,,,50,50,,,NA,,,,,,
194,,194,,,,,9,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
195,,195,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_ILJug-03_02812.jpg;pp
196,,196,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
197,,197,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-03_02817_1.jpg;$ILJug-03_02817_2.jpg;pp
198,,198,,,,,31,70,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
199,,199,,,,,1,100,,,lapis,,,,,,
200,,200,,,,,1,50,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1925_00132.jpg;$ILJug_02820.jpg;$M_ILJug-03_02820_1.jpg;$M_ILJug-03_02820_2.jpg;$ILJug-03_02820_3.jpg;pp
201,,201,,,,,6,41,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-199-236_1.jpg;$ZPE-199-236_2.jpg
202,,202,,,,,42,69,,,lapis,,,,,,
203,,203,,,,,37,41,,,lapis,,,,,,
204,,204,,,,,51,100,,,lapis,,,,,,
205,,205,,,,,42,100,,,NA,,,,,,
206,,206,,,,,1,150,,,NA,,,,,,
207,,207,,,,,71,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_02887_1.jpg;$M_CIL_03_02887_2.jpg;pp
208,,208,,,,,63,68,,,lapis,,,,"PIR C 1348, PIR D 201",,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00092.jpg;pp
209,,209,,,,,42,100,,,NA,,,,,,
210,,210,,,,,63,68,,,lapis,,,,,,
211,,211,,,,,71,80,,,lapis,,,,,,
212,,212,,,,,31,70,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
213,,213,,,,,1,150,,,NA,,,,,,
214,,214,,,,,1,30,,,NA,,,,,,
215,,215,,,,,42,69,,,NA,,,,,,
216,,216,,,,,1,150,,,NA,,,,,,
217,,217,,,,,42,100,,,NA,,,,,,
218,,218,,,,,42,100,,,NA,,,,,,
219,,219,,,,,42,100,,,NA,,,,,,
220,,220,,,,,9,42,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PEC0008804
221,,221,,,,,11,100,,,NA,,,,,,
222,,222,,,,,1,100,,,NA,,,,,,
223,,223,,,,,1,150,,,NA,,,,,,
224,,224,,,,,1,150,,,NA,,,,,,
225,,225,,,,,9,69,,,NA,,,,,,
226,,226,,,,,10,17,,,NA,,,,,,
227,,227,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
228,,228,,,,,101,150,,,NA,,,,,,
229,,229,,,,,80,83,,,rupes,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AEHercegovine_00046.jpg;pp
230,,230,,,,,1,100,,,NA,,,,,,
231,,231,,,,,37,41,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00095.jpg;$PF_CIL_03_14243-6.jpg;$PF_CIL_03_08472.jpg
232,,232,,,,,1,100,,,NA,,,,,,
233,,233,,,,,14,69,,,NA,,,,,,
234,,234,,,,,101,150,,,NA,,,,,,
235,,235,,,,,1,40,,,rupes,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00017.jpg;pp
236,,236,,,,,1,150,,,lapis,,,,,,
237,,237,,,,,1,150,,,NA,,,,,,
238,,238,,,,,1,40,,,rupes,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00011.jpg
239,,239,,,,,1,150,,,NA,,,,,,
240,,240,,,,,71,150,,,opus figlinae,,,,,,
241,,241,,,,,14,37,,,lapis,,,,,,
242,,242,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1950_00109.jpg;$AE_1950_00109_1.jpg
243,,243,,,,,1,100,,,lapis,,,,,,
244,,244,,,,,14,37,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-XV-Apo_00133.jpg;pp
245,,245,,,,,1,100,,,NA,,,,,,
246,,246,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Kurilic_00054.jpg;pp
247,,247,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_BAHD-1994-96-42a.jpg
248,,248,,,,,9,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
249,,249,,Church St. Martin cemetery,,,9,69,,,lapis,"Zadar, Arh. Muz.",,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_06418_1.jpg;$M_CIL_03_06418_2.jpg;pp
250,,250,,,,,1,150,,,lapis,,,,,,
251,,251,,,,,101,130,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_09960.jpg
252,,252,,,,,51,130,,,NA,,,,,,
253,,253,,,,,1,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
254,,254,,,,,1,150,,,NA,,,,,,
255,,255,,,,,92,92,,,lapis,,,,,,
256,,256,,,,,1,70,,,opus figlinae,,,,,,
257,,257,,,,,1,70,,,opus figlinae,,,,,,
